GRAPHEME	FROM_ROUNDEDNESS	FROM_HEIGHT	FROM_CENTRALITY	TO_ROUNDEDNESS	TO_HEIGHT	TO_CENTRALITY	ALIAS	EXTRA	NOTE
au	from_unrounded	from_open	from_front	to_rounded	to_close	to_back			
ao	from_unrounded	from_open	from_front	to_rounded	to_close-mid	to_back			
ae	from_unrounded	from_open	from_front	to_unrounded	to_close-mid	to_front			
ai	from_unrounded	from_open	from_front	to_unrounded	to_close	to_front			
aɔ	from_unrounded	from_open	from_front	to_rounded	to_open-mid	to_back			
aǝ	from_unrounded	from_open	from_front	to_unrounded	to_mid	to_central			
aɛ	from_unrounded	from_open	from_front	to_unrounded	to_open-mid	to_front			
aɯ	from_unrounded	from_open	from_front	to_unrounded	to_close	to_back			
aʉ	from_unrounded	from_open	from_front	to_rounded	to_close	to_central			
aɑ	from_unrounded	from_open	from_front	to_unrounded	to_open	to_back			
aɔ̃	from_unrounded	from_open	from_front	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
aɤ	from_unrounded	from_open	from_front	to_unrounded	to_close-mid	to_back			
aõ	from_unrounded	from_open	from_front	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
aɒ	from_unrounded	from_open	from_front	to_rounded	to_open	to_back			
aɛ̃	from_unrounded	from_open	from_front	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
aɨ	from_unrounded	from_open	from_front	to_unrounded	to_close	to_central			
aü	from_unrounded	from_open	from_front	to_rounded	to_close	to_front			
aä	from_unrounded	from_open	from_front	to_unrounded	to_nearly-open	to_front			
aö	from_unrounded	from_open	from_front	to_rounded	to_open-mid	to_front			
aɤ̃	from_unrounded	from_open	from_front	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
aẽ	from_unrounded	from_open	from_front	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
uo	from_rounded	from_close	from_back	to_rounded	to_close-mid	to_back			
ue	from_rounded	from_close	from_back	to_unrounded	to_close-mid	to_front			
ui	from_rounded	from_close	from_back	to_unrounded	to_close	to_front			
uɔ	from_rounded	from_close	from_back	to_rounded	to_open-mid	to_back			
uǝ	from_rounded	from_close	from_back	to_unrounded	to_mid	to_central			
uɛ	from_rounded	from_close	from_back	to_unrounded	to_open-mid	to_front			
uɯ	from_rounded	from_close	from_back	to_unrounded	to_close	to_back			
uʉ	from_rounded	from_close	from_back	to_rounded	to_close	to_central			
uɑ	from_rounded	from_close	from_back	to_unrounded	to_open	to_back			
uɔ̃	from_rounded	from_close	from_back	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
uɤ	from_rounded	from_close	from_back	to_unrounded	to_close-mid	to_back			
uõ	from_rounded	from_close	from_back	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
uɒ	from_rounded	from_close	from_back	to_rounded	to_open	to_back			
uɛ̃	from_rounded	from_close	from_back	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
uɨ	from_rounded	from_close	from_back	to_unrounded	to_close	to_central			
uü	from_rounded	from_close	from_back	to_rounded	to_close	to_front			
uã	from_rounded	from_close	from_back	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
uä	from_rounded	from_close	from_back	to_unrounded	to_nearly-open	to_front			
uö	from_rounded	from_close	from_back	to_rounded	to_open-mid	to_front			
uɤ̃	from_rounded	from_close	from_back	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
uẽ	from_rounded	from_close	from_back	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
oe	from_rounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_front			
oi	from_rounded	from_close-mid	from_back	to_unrounded	to_close	to_front			
oɔ	from_rounded	from_close-mid	from_back	to_rounded	to_open-mid	to_back			
oǝ	from_rounded	from_close-mid	from_back	to_unrounded	to_mid	to_central			
oɛ	from_rounded	from_close-mid	from_back	to_unrounded	to_open-mid	to_front			
oɯ	from_rounded	from_close-mid	from_back	to_unrounded	to_close	to_back			
oʉ	from_rounded	from_close-mid	from_back	to_rounded	to_close	to_central			
oɑ	from_rounded	from_close-mid	from_back	to_unrounded	to_open	to_back			
oɔ̃	from_rounded	from_close-mid	from_back	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
oɤ	from_rounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_back			
oɒ	from_rounded	from_close-mid	from_back	to_rounded	to_open	to_back			
oɛ̃	from_rounded	from_close-mid	from_back	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
oɨ	from_rounded	from_close-mid	from_back	to_unrounded	to_close	to_central			
oü	from_rounded	from_close-mid	from_back	to_rounded	to_close	to_front			
oã	from_rounded	from_close-mid	from_back	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
oä	from_rounded	from_close-mid	from_back	to_unrounded	to_nearly-open	to_front			
oö	from_rounded	from_close-mid	from_back	to_rounded	to_open-mid	to_front			
oɤ̃	from_rounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
oẽ	from_rounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ei	from_unrounded	from_close-mid	from_front	to_unrounded	to_close	to_front			
eɔ	from_unrounded	from_close-mid	from_front	to_rounded	to_open-mid	to_back			
eǝ	from_unrounded	from_close-mid	from_front	to_unrounded	to_mid	to_central			
eɛ	from_unrounded	from_close-mid	from_front	to_unrounded	to_open-mid	to_front			
eɯ	from_unrounded	from_close-mid	from_front	to_unrounded	to_close	to_back			
eʉ	from_unrounded	from_close-mid	from_front	to_rounded	to_close	to_central			
eɑ	from_unrounded	from_close-mid	from_front	to_unrounded	to_open	to_back			
eɔ̃	from_unrounded	from_close-mid	from_front	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
eɤ	from_unrounded	from_close-mid	from_front	to_unrounded	to_close-mid	to_back			
eõ	from_unrounded	from_close-mid	from_front	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
eɒ	from_unrounded	from_close-mid	from_front	to_rounded	to_open	to_back			
eɛ̃	from_unrounded	from_close-mid	from_front	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
eɨ	from_unrounded	from_close-mid	from_front	to_unrounded	to_close	to_central			
eü	from_unrounded	from_close-mid	from_front	to_rounded	to_close	to_front			
eã	from_unrounded	from_close-mid	from_front	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
