GRAPHEME	PHONATION	PLACE	MANNER	ALIAS	EXTRA	NOTE
!	voiceless	alveolar	click			
p	voiceless	bilabial	stop			p, ɸ
m	voiced	bilabial	nasal			m
b	voiced	bilabial	stop			b
f	voiceless	labio-dental	fricative			f
v	voiced	labio-dental	fricative			v
8	voiceless	dental	fricative			Ɵ ð
4	voiced	dental	nasal			n̪
t	voiceless	alveolar	stop			t
d	voiced	alveolar	stop			d
s	voiceless	alveolar	sibilant-fricative			s
z	voiced	alveolar	sibilant-fricative			z
c	voiceless	alveolar	sibilant-affricate			ts dz
n	voiced	alveolar	nasal			n
S	voiceless	postalveolar	sibilant-fricative			ʃ
Z	voiced	postalveolar	sibilant-fricative			ʒ
C	voiceless	postalveolar	sibilant-affricate			tʃ
j	voiced	postalveolar	sibilant-affricate			dʒ
T	voiceless	palatal	stop			c Ɉ
5	voiced	palatal	nasal			ɲ
k	voiceless	velar	stop			k
g	voiced	velar	stop			g
x	voiceless	velar	fricative			x ɣ
N	voiced	velar	nasal			ŋ
q	voiceless	uvular	stop			q
G	voiced	uvular	stop			ɢ
X	voiceless	uvular	fricative			χ ʁ ħ ʕ
7	voiceless	glottal	stop			ʔ
h	voiceless	glottal	fricative			h ɦ
l	voiced	alveolar	lateral-approximant			l
L	voiced	velar	lateral-approximant			L ɭ ʎ
w	voiced	labialized-velar	approximant			w
y	voiced	palatal	approximant			j
r	voiced	alveolar	trill			r
ph	voiceless	bilabial	stop		aspiration:aspirated	pʰ
mh	voiced	bilabial	nasal		aspiration:aspirated	m
bh	voiced	bilabial	stop		aspiration:aspirated	b
fh	voiceless	labio-dental	fricative		aspiration:aspirated	f
vh	voiced	labio-dental	fricative		aspiration:aspirated	v
8h	voiceless	dental	fricative		aspiration:aspirated	Ɵ ð
4h	voiced	dental	nasal		aspiration:aspirated	n̪
th	voiceless	alveolar	stop		aspiration:aspirated	t
dh	voiced	alveolar	stop		aspiration:aspirated	d
sh	voiceless	alveolar	sibilant-fricative		aspiration:aspirated	s
zh	voiced	alveolar	sibilant-fricative		aspiration:aspirated	z
ch	voiceless	alveolar	sibilant-affricate		aspiration:aspirated	ts dz
nh	voiced	alveolar	nasal		aspiration:aspirated	n
Sh	voiceless	postalveolar	sibilant-fricative		aspiration:aspirated	ʃ
Zh	voiced	postalveolar	sibilant-fricative		aspiration:aspirated	ʒ
Ch	voiceless	postalveolar	sibilant-affricate		aspiration:aspirated	tʃ
jh	voiced	postalveolar	sibilant-affricate		aspiration:aspirated	dʒ
Th	voiceless	palatal	stop		aspiration:aspirated	c Ɉ
5h	voiced	palatal	nasal		aspiration:aspirated	ɲ
kh	voiceless	velar	stop		aspiration:aspirated	k
gh	voiced	velar	stop		aspiration:aspirated	g
xh	voiceless	velar	fricative		aspiration:aspirated	x ɣ
Nh	voiced	velar	nasal		aspiration:aspirated	ŋ
qh	voiceless	uvular	stop		aspiration:aspirated	q
Gh	voiced	uvular	stop		aspiration:aspirated	ɢ
Xh	voiceless	uvular	fricative		aspiration:aspirated	χ ʁ ħ ʕ
7h	voiceless	glottal	stop		aspiration:aspirated	ʔ
hh	voiceless	glottal	fricative		aspiration:aspirated	h ɦ
lh	voiced	alveolar	lateral-approximant		aspiration:aspirated	l
Lh	voiced	velar	lateral-approximant		aspiration:aspirated	L ɭ ʎ
wh	voiced	labialized-velar	approximant		aspiration:aspirated	w
yh	voiced	palatal	approximant		aspiration:aspirated	j
rh	voiced	alveolar	trill		aspiration:aspirated	r
pw	voiceless	bilabial	stop		labialization:labialized	pʰ
mw	voiced	bilabial	nasal		labialization:labialized	m
bw	voiced	bilabial	stop		labialization:labialized	b
fw	voiceless	labio-dental	fricative		labialization:labialized	f
vw	voiced	labio-dental	fricative		labialization:labialized	v
8w	voiceless	dental	fricative		labialization:labialized	Ɵ ð
4w	voiced	dental	nasal		labialization:labialized	n̪
tw	voiceless	alveolar	stop		labialization:labialized	t
dw	voiced	alveolar	stop		labialization:labialized	d
sw	voiceless	alveolar	sibilant-fricative		labialization:labialized	s
zw	voiced	alveolar	sibilant-fricative		labialization:labialized	z
cw	voiceless	alveolar	sibilant-affricate		labialization:labialized	ts dz
nw	voiced	alveolar	nasal		labialization:labialized	n
Sw	voiceless	postalveolar	sibilant-fricative		labialization:labialized	ʃ
Zw	voiced	postalveolar	sibilant-fricative		labialization:labialized	ʒ
Cw	voiceless	postalveolar	sibilant-affricate		labialization:labialized	tʃ
jw	voiced	postalveolar	sibilant-affricate		labialization:labialized	dʒ
Tw	voiceless	palatal	stop		labialization:labialized	c Ɉ
5w	voiced	palatal	nasal		labialization:labialized	ɲ
kw	voiceless	velar	stop		labialization:labialized	k
gw	voiced	velar	stop		labialization:labialized	g
xw	voiceless	velar	fricative		labialization:labialized	x ɣ
Nw	voiced	velar	nasal		labialization:labialized	ŋ
qw	voiceless	uvular	stop		labialization:labialized	q
Gw	voiced	uvular	stop		labialization:labialized	ɢ
Xw	voiceless	uvular	fricative		labialization:labialized	χ ʁ ħ ʕ
7w	voiceless	glottal	stop		labialization:labialized	ʔ
hw	voiceless	glottal	fricative		labialization:labialized	h ɦ
lw	voiced	alveolar	lateral-approximant		labialization:labialized	l
Lw	voiced	velar	lateral-approximant		labialization:labialized	L ɭ ʎ
ww	voiced	labialized-velar	approximant		labialization:labialized	w
yw	voiced	palatal	approximant		labialization:labialized	j
rw	voiced	alveolar	trill		labialization:labialized	r
pwh	voiceless	bilabial	stop		aspiration:aspirated,labialization:labialized	pʰ
mwh	voiced	bilabial	nasal		aspiration:aspirated,labialization:labialized	m
bwh	voiced	bilabial	stop		aspiration:aspirated,labialization:labialized	b
fwh	voiceless	labio-dental	fricative		aspiration:aspirated,labialization:labialized	f
vwh	voiced	labio-dental	fricative		aspiration:aspirated,labialization:labialized	v
8wh	voiceless	dental	fricative		aspiration:aspirated,labialization:labialized	Ɵ ð
4wh	voiced	dental	nasal		aspiration:aspirated,labialization:labialized	n̪
twh	voiceless	alveolar	stop		aspiration:aspirated,labialization:labialized	t
dwh	voiced	alveolar	stop		aspiration:aspirated,labialization:labialized	d
swh	voiceless	alveolar	sibilant-fricative		aspiration:aspirated,labialization:labialized	s
zwh	voiced	alveolar	sibilant-fricative		aspiration:aspirated,labialization:labialized	z
cwh	voiceless	alveolar	sibilant-affricate		aspiration:aspirated,labialization:labialized	ts dz
nwh	voiced	alveolar	nasal		aspiration:aspirated,labialization:labialized	n
Swh	voiceless	postalveolar	sibilant-fricative		aspiration:aspirated,labialization:labialized	ʃ
